Test,Round,Demand,Accept
1,1,584.1098550611634,0.6875
1,2,599.1224540736793,0.5
1,3,548.5288089347528,0.625
1,4,561.7816951118228,0.625
1,5,571.8783177149676,0.625
1,6,586.7056528014181,0.4375
1,7,599.2397989104307,0.4375
1,8,602.8570900292381,0.5
1,9,603.0944420135512,0.3125
1,10,602.8124347998496,0.5
2,1,554.1385026868684,0.6875
2,2,601.4811972105829,0.375
2,3,549.7272081046939,0.5625
2,4,557.2657347339627,0.4375
2,5,572.47635810698,0.5
2,6,568.4303219747201,0.3125
2,7,566.493846882559,0.5
2,8,567.1117664231863,0.5625
2,9,567.5531976788502,0.5625
2,10,567.7840974861517,0.4375
3,1,559.7225985628316,0.625
3,2,555.6422780070498,0.5
3,3,555.847813021771,0.5
3,4,548.9887364531205,0.5
3,5,546.054299139412,0.5625
3,6,569.4180823339473,0.5
3,7,576.6120912887772,0.4375
3,8,570.4716045476819,0.375
3,9,567.247083962592,0.5625
3,10,568.0113424729492,0.5
4,1,578.4915796457818,0.6875
4,2,578.2154108384839,0.4375
4,3,578.1515684313724,0.4375
4,4,559.9244233583634,0.4375
4,5,567.3143071286022,0.4375
4,6,572.071352686481,0.4375
4,7,564.5207110111534,0.5625
4,8,559.2242195912739,0.5
4,9,576.0717882546868,0.375
4,10,577.1768464009498,0.5
5,1,575.809551121569,0.75
5,2,599.6121718058318,0.375
5,3,557.4952719619868,0.6875
5,4,584.9958253385489,0.375
5,5,585.8482450306794,0.4375
5,6,586.7996407709719,0.5
5,7,576.2116655321468,0.5
5,8,594.1268446329095,0.375
5,9,587.1201316846881,0.5
5,10,582.7770034453446,0.5625
6,1,551.6244602380787,0.625
6,2,565.0443714199247,0.5625
6,3,556.6174137737198,0.375
6,4,554.3525096187198,0.5
6,5,551.3587443467529,0.625
6,6,544.0948922665341,0.5625
6,7,556.6942985290372,0.5
6,8,554.0991269774382,0.5625
6,9,553.0368938732495,0.5625
6,10,552.5477342811593,0.375
7,1,583.6640798218093,0.8125
7,2,598.4115412144196,0.3125
7,3,562.8453244788243,0.5625
7,4,587.9653402718928,0.625
7,5,583.3786151095893,0.375
7,6,600.9323688892165,0.3125
7,7,598.5759505882438,0.4375
7,8,598.3363535031186,0.4375
7,9,597.9690148198943,0.5
7,10,597.806097742189,0.3125
8,1,603.266876744958,0.5625
8,2,565.0466093908108,0.5625
8,3,534.4535985878609,0.75
8,4,568.1466097860748,0.625
8,5,596.8566647530356,0.25
8,6,579.3126799218692,0.5625
8,7,578.1633293299344,0.4375
8,8,587.4728344724442,0.5
8,9,588.0925690409696,0.375
8,10,587.8085668834445,0.4375
9,1,604.968890416514,0.8125
9,2,535.6454191353642,0.6875
9,3,583.7050723510357,0.4375
9,4,604.3663131347693,0.375
9,5,602.5371122456805,0.375
9,6,622.0377718706756,0.3125
9,7,619.5234823094186,0.3125
9,8,618.3812099614419,0.5625
9,9,618.1004079239659,0.4375
9,10,617.7096864883922,0.5625
10,1,609.9379395744382,0.875
10,2,564.7180517552813,0.625
10,3,568.0092011200416,0.625
10,4,598.3168950569604,0.4375
10,5,587.5621508222276,0.5625
10,6,615.6734138915931,0.4375
10,7,613.1981680829059,0.3125
10,8,626.4279482457241,0.3125
10,9,624.744432023694,0.4375
10,10,624.0847187534068,0.375
11,1,535.7825343918834,0.875
11,2,508.4559422052416,0.5
11,3,574.7751474121015,0.125
11,4,552.2103454933318,0.625
11,5,552.9165531857985,0.4375
11,6,547.046258918554,0.5
11,7,544.4359597317349,0.5
11,8,544.1385733295281,0.4375
11,9,543.5664919652319,0.625
11,10,543.8384919156873,0.5625
12,1,573.8295873939105,0.875
12,2,573.6101985548374,0.4375
12,3,606.204181591767,0.5
12,4,616.8193728731542,0.5625
12,5,615.4941243445357,0.4375
12,6,607.849760594946,0.4375
12,7,608.9653951831496,0.4375
12,8,600.8859169619424,0.375
12,9,591.4118389041101,0.5625
12,10,597.002564251399,0.5
13,1,507.5832484888421,0.625
13,2,518.5666295600993,0.5625
13,3,540.7469674588938,0.3125
13,4,520.4974824328885,0.4375
13,5,520.4661295191779,0.5625
13,6,529.192251089312,0.6875
13,7,532.7108955074073,0.625
13,8,534.1780686378636,0.5
13,9,534.4765271168011,0.5
13,10,534.2127990071459,0.5625
14,1,519.7629417348877,0.75
14,2,522.7881301018278,0.4375
14,3,536.485017523394,0.5625
14,4,509.1557168803981,0.5
14,5,542.1788962484355,0.5
14,6,540.9658002975139,0.4375
14,7,565.7170653962895,0.375
14,8,558.9350244390844,0.375
14,9,554.3234860107373,0.375
14,10,552.7265710177019,0.1875
15,1,609.3291287619703,0.75
15,2,517.6127378758107,0.8125
15,3,545.9265860204757,0.5625
15,4,575.8781071457614,0.4375
15,5,601.5149451024353,0.4375
15,6,605.0364267995975,0.3125
15,7,625.6396763396328,0.3125
15,8,617.0205224660266,0.3125
15,9,614.8783103618073,0.3125
15,10,613.8072043096977,0.25
16,1,558.4873184788577,0.625
16,2,541.9985709978705,0.5
16,3,541.3350704988941,0.4375
16,4,554.1921125946836,0.4375
16,5,551.412088175075,0.5625
16,6,549.6066591284463,0.5625
16,7,550.5167546708445,0.5
16,8,550.5008547470944,0.5625
16,9,550.7527899391678,0.4375
16,10,550.8355085665096,0.4375
17,1,587.3853677839867,0.5625
17,2,566.6240158318457,0.5625
17,3,579.3400433689949,0.375
17,4,596.8071629290615,0.3125
17,5,599.8536552481917,0.375
17,6,578.3096248673072,0.5
17,7,584.1223206833638,0.4375
17,8,585.6971265330949,0.375
17,9,586.2555150411565,0.5625
17,10,587.055017793678,0.5
18,1,544.236546404339,0.75
18,2,525.8375428962394,0.375
18,3,522.0984169796544,0.5625
18,4,549.7287270121539,0.4375
18,5,576.2243014557502,0.3125
18,6,569.3452006538406,0.375
18,7,579.1097637148413,0.375
18,8,558.2551765898727,0.5625
18,9,558.7313906642319,0.5625
18,10,558.8220367663552,0.5
19,1,595.8902970155137,0.375
19,2,613.7815653214979,0.375
19,3,558.5813260669433,0.625
19,4,586.6946455335384,0.625
19,5,586.8417737761467,0.625
19,6,589.3771183264034,0.5
19,7,587.5698123381977,0.4375
19,8,586.919246249306,0.625
19,9,586.9233199778078,0.5625
19,10,587.2355070450452,0.5
20,1,579.8517292483709,0.875
20,2,569.8941649985067,0.5625
20,3,602.5136841785238,0.3125
20,4,613.5558090338006,0.4375
20,5,594.4184621199157,0.375
20,6,594.913986846714,0.3125
20,7,603.2184241680551,0.375
20,8,621.8241359058322,0.3125
20,9,616.4474467120455,0.25
20,10,613.5628788157222,0.3125
21,1,597.4527857450926,0.875
21,2,535.9592567417467,0.5625
21,3,603.185853970236,0.3125
21,4,622.1117986218029,0.4375
21,5,617.2610438484604,0.375
21,6,620.9169399534347,0.375
21,7,615.8830290321312,0.4375
21,8,617.1367971411013,0.4375
21,9,616.0226312383027,0.4375
21,10,615.51147073897,0.375
22,1,545.0702557021091,0.6875
22,2,605.4245477581455,0.3125
22,3,527.2929593586207,0.6875
22,4,526.0598841553223,0.5625
22,5,553.0714062427429,0.4375
22,6,569.5755706395634,0.5625
22,7,570.0065224413663,0.5625
22,8,560.9223141537541,0.5625
22,9,563.0196030494754,0.625
22,10,572.5219108955284,0.5
23,1,560.0538032287667,0.75
23,2,545.5781560958319,0.375
23,3,583.1303440346405,0.5
23,4,573.5956732240771,0.5
23,5,576.6640987540387,0.5625
23,6,573.2654631196273,0.375
23,7,569.6964020478167,0.5
23,8,570.6314048787711,0.5625
23,9,571.1179520137702,0.5
23,10,571.3083967653397,0.5625
24,1,594.5812072644153,0.8125
24,2,605.866739722924,0.5
24,3,609.3270894566539,0.5625
24,4,618.4024934986471,0.375
24,5,630.3397511613206,0.4375
24,6,629.796178627506,0.5
24,7,630.7238426641608,0.375
24,8,629.9626103732301,0.5
24,9,630.2611321994839,0.375
24,10,630.0708241267511,0.4375
25,1,554.4621491583567,0.5
25,2,538.0217051564576,0.625
25,3,533.4077578024454,0.5625
25,4,565.1068827137858,0.4375
25,5,554.4263665601094,0.4375
25,6,551.4289024265058,0.4375
25,7,549.4625363359735,0.4375
25,8,548.4509411991849,0.4375
25,9,548.0846008738328,0.5
25,10,548.0265590326567,0.4375
26,1,521.5689246376102,0.75
26,2,555.2857965483421,0.375
